UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1848,L49027,L,297.8,307.3,1412,50.7,24,0,0,0,0,0,0
1876,L49055,L,298.3,308,1363,50.1,96,0,0,0,0,0,0
1879,M16738,M,298.1,307.7,1424,47.7,103,0,0,0,0,0,0
1884,M16743,M,298.0,307.6,1472,46.7,116,0,0,0,0,0,0
1928,H31341,H,298.0,307.8,1314,47.8,19,0,0,0,0,0,0
1941,L49120,L,298.1,307.9,1578,35.6,55,0,0,0,0,0,0
1943,L49122,L,298.1,308,1456,42.4,59,0,0,0,0,0,0
1946,L49125,L,298.1,308.1,1616,32.8,65,0,0,0,0,0,0
1997,M16856,M,298.4,308,1416,38.2,198,1,1,0,0,0,0
2016,L49195,L,298.5,308.2,1301,66.3,42,1,0,0,1,0,0
2018,L49197,L,298.7,308.5,1483,42.5,46,0,0,0,0,0,0
2036,M16895,M,298.9,308.6,1469,34.2,93,0,0,0,0,0,0
2076,L49255,L,299.5,309.4,1390,58.8,195,1,0,0,0,1,0
2096,L49275,L,299.4,309.3,1525,41.5,30,0,0,0,0,0,0
2100,L49279,L,299.4,309.3,1596,31.8,40,0,0,0,0,0,0
2115,H31528,H,299.4,309.1,1373,44.1,81,0,0,0,0,0,0
2126,L49305,L,299.3,308.9,1258,69.4,119,1,0,0,1,0,0
2141,L49320,L,299.3,309,1419,46.6,158,0,0,0,0,0,0
2144,M17003,M,299.3,308.8,1442,49.0,165,0,0,0,0,0,0
2159,M17018,M,299.5,309,1399,49.7,207,0,0,0,0,0,0
2167,M17026,M,299.6,309.2,1867,23.4,225,1,1,0,0,0,0
2200,M17059,M,299.8,309.1,1268,58.0,90,0,0,0,0,0,0
2201,L49380,L,299.8,309.1,1546,35.6,93,0,0,0,0,0,0
2224,L49403,L,299.6,309,1413,48.5,153,0,0,0,0,0,0
2227,M17086,M,299.6,308.9,1685,27.8,161,0,0,0,0,0,0
2234,L49413,L,299.5,308.7,2549,13.0,179,1,0,0,1,0,0
2245,M17104,M,299.3,308.4,1542,37.5,203,1,1,0,0,0,0
2259,L49438,L,299.1,308.2,1319,60.3,36,0,0,0,0,0,0
2300,L49479,L,299.4,308.7,1446,62.9,134,1,0,0,1,0,0
2326,L49505,L,299.3,308.8,1603,33.9,203,0,0,0,0,0,0
2332,L49511,L,299.3,308.6,1384,53.6,218,1,0,0,0,1,0
2333,L49512,L,299.2,308.5,1378,50.4,220,1,0,0,0,1,0
2348,L49527,L,299.2,308.3,1410,43.0,26,0,0,0,0,0,0
2349,L49528,L,299.2,308.4,1436,41.8,28,0,0,0,0,0,0
2358,L49537,L,299.3,308.5,1772,26.1,52,0,0,0,0,0,0
2402,M17261,M,299.2,308.6,1367,47.6,168,0,0,0,0,0,0
2427,M17286,M,298.9,308.2,1372,63.6,30,1,0,0,1,0,0
2445,L49624,L,299.2,308.6,1267,68.2,76,1,0,0,1,0,0
2478,L49657,L,298.9,308.5,1387,57.3,154,0,0,0,0,0,0
2481,L49660,L,299.0,308.6,1734,32.4,161,0,0,0,0,0,0
2490,H31903,H,298.9,308.7,1500,41.6,187,0,0,0,0,0,0
2495,L49674,L,299.1,308.8,1329,53.6,207,1,0,0,0,1,0
2503,L49682,L,299.2,309,1515,48.9,228,1,0,0,0,1,0
2508,H31921,H,299.2,309.1,1410,47.1,9,0,0,0,0,0,0
2570,H31983,H,299.5,309.2,1872,22.6,162,0,0,0,0,0,0
2582,L49761,L,299.2,309.1,1345,60.7,191,1,0,0,0,1,0
2599,L49778,L,299.1,308.8,1320,67.5,20,1,0,0,1,0,0
2600,M17459,M,299.2,308.9,1447,39.6,22,0,0,0,0,0,0
2604,M17463,M,299.3,309.2,1334,46.3,31,0,0,0,0,0,0
2614,M17473,M,299.3,309.1,1571,38.3,59,0,0,0,0,0,0
2615,L49794,L,299.3,309.1,1634,36.8,62,0,0,0,0,0,0
2647,M17506,M,299.8,309.5,1453,43.2,153,0,0,0,0,0,0
2652,L49831,L,299.9,309.5,2008,20.4,165,0,0,0,0,0,0
2659,L49838,L,300.0,309.4,1395,44.5,181,0,0,0,0,0,0
2672,M17531,M,299.7,309.3,1399,41.9,221,1,1,0,0,0,0
2677,L49856,L,299.7,309.3,1592,34.2,8,0,0,0,0,0,0
2684,L49863,L,299.8,309.5,1590,28.5,23,0,0,0,0,0,0
2690,L49869,L,300.0,309.5,1641,30.1,35,0,0,0,0,0,0
2715,M17574,M,299.6,309.1,1366,55.2,95,0,0,0,0,0,0
2716,M17575,M,299.5,309,1701,28.6,98,0,0,0,0,0,0
2731,L49910,L,299.6,309.2,1425,45.9,133,0,0,0,0,0,0
2733,L49912,L,299.7,309.2,1346,57.4,138,0,0,0,0,0,0
2746,M17605,M,299.7,309.1,1603,38.5,170,0,0,0,0,0,0
2750,M17609,M,299.7,309.2,1685,28.9,179,1,0,0,0,0,0
2762,L49941,L,299.8,309.3,1299,65.1,212,1,0,0,0,1,0
2768,L49947,L,300.0,309.5,1925,21.9,9,0,0,0,0,0,0
2776,L49955,L,300.1,309.4,1560,47.7,26,0,0,0,0,0,0
2795,L49974,L,300.4,309.6,1553,43.9,75,0,0,0,0,0,0
2851,L50030,L,300.4,309.3,1671,35.0,209,0,0,0,0,0,0
2859,L50038,L,300.5,309.3,1417,51.5,231,1,0,0,0,1,0
2865,H32278,H,300.6,309.4,1380,47.6,246,1,1,0,0,0,0
2876,M17735,M,300.5,309.4,1877,23.8,31,0,0,0,0,0,0
2880,M17739,M,300.6,309.4,1367,63.2,45,1,0,0,1,0,0
2925,L50104,L,300.8,309.7,1461,44.3,158,0,0,0,0,0,0
2942,M17801,M,300.7,309.6,1996,19.8,203,1,1,0,0,0,0
2956,M17815,M,300.7,309.5,1439,43.8,41,0,0,0,0,0,0
2975,M17834,M,300.6,309.4,1521,37.2,90,0,0,0,0,0,0
3000,L50179,L,300.5,309.7,1395,61.0,157,0,0,0,0,0,0
3001,H32414,H,300.5,309.8,1324,72.8,159,1,0,0,1,0,0
3003,M17862,M,300.5,309.8,1555,38.9,166,0,0,0,0,0,0
3014,L50193,L,300.5,309.6,1390,48.4,194,0,0,0,0,0,0
3020,L50199,L,300.5,309.8,1379,54.2,207,1,0,0,0,1,0
3083,M17942,M,300.0,309.3,1407,43.9,138,0,0,0,0,0,0
3121,H32534,H,300.1,309.4,1563,40.8,28,0,0,0,0,0,0
3141,H32554,H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0
3189,M18048,M,300.1,309.2,1438,51.0,211,0,0,0,0,0,0
3192,M18051,M,300.1,309.2,1732,33.7,218,0,0,0,0,0,0
3194,L50373,L,300.0,309.1,1401,44.5,0,0,0,0,0,0,0
3197,L50376,L,300.0,309.1,1489,40.3,7,0,0,0,0,0,0
3217,L50396,L,300.5,309.5,1653,27.6,62,0,0,0,0,0,0
3221,M18080,M,300.7,309.6,1525,36.5,71,0,0,0,0,0,0
3228,M18087,M,300.5,309.3,1589,34.9,91,0,0,0,0,0,0
3237,M18096,M,300.8,309.4,1342,62.4,113,1,0,1,0,0,0
3243,L50422,L,300.9,309.6,1384,42.4,131,0,0,0,0,0,0
3264,L50443,L,301.3,310,1344,54.8,186,0,0,0,0,0,0
3267,L50446,L,301.3,310.1,1269,56.8,195,1,0,0,0,1,0
3308,M18167,M,301.4,310.5,1563,39.9,83,0,0,0,0,0,0
3337,L50516,L,301.6,310.8,1535,35.4,148,0,0,0,0,0,0
3338,L50517,L,301.6,310.8,1564,34.1,150,0,0,0,0,0,0
3342,H32755,H,301.4,310.7,1329,52.0,160,0,0,0,0,0,0
3349,M18208,M,301.3,310.7,1532,40.7,178,0,0,0,0,0,0
3351,L50530,L,301.4,310.8,1285,62.6,183,1,0,0,0,1,0
3357,L50536,L,301.6,310.8,1355,57.8,195,1,0,0,0,1,0
3370,L50549,L,301.5,310.9,2760,8.0,15,1,0,0,1,0,0
3378,H32791,H,301.5,310.8,1591,29.6,33,0,0,0,0,0,0
3418,L50597,L,301.6,310.6,1621,33.7,137,0,0,0,0,0,0
3429,L50608,L,301.6,310.6,1391,49.4,164,0,0,0,0,0,0
3458,M18317,M,301.5,310.4,2639,12.0,21,1,0,0,1,0,0
3516,M18375,M,301.9,311.1,1605,40.0,179,0,0,0,0,0,0
3525,M18384,M,301.8,310.8,1365,48.2,199,0,0,0,0,0,0
3527,H32940,H,301.8,310.8,1470,37.6,204,0,0,0,0,0,0
3529,L50708,L,302.0,310.9,1378,53.1,212,1,0,0,0,1,0
3530,L50709,L,301.9,310.9,1567,39.0,214,1,1,0,0,0,0
3536,H32949,H,301.9,311,1672,29.9,13,0,0,0,0,0,0
3542,L50721,L,301.8,310.8,1546,43.4,29,0,0,0,0,0,0
3556,L50735,L,301.8,310.7,1551,37.7,64,0,0,0,0,0,0
3569,L50748,L,301.8,310.6,1372,54.7,95,0,0,0,0,0,0
3578,M18437,M,301.6,310.4,1455,39.0,118,0,0,0,0,0,0
3580,L50759,L,301.8,310.6,2672,11.8,124,1,0,0,1,0,0
3588,H33001,H,301.8,310.5,1478,38.6,141,0,0,0,0,0,0
3589,M18448,M,301.7,310.6,1505,44.5,146,0,0,0,0,0,0
3597,L50776,L,301.7,310.5,1354,50.0,169,0,0,0,0,0,0
3612,L50791,L,301.7,310.9,1405,46.4,207,1,1,0,0,0,1
3615,L50794,L,301.8,311,1606,33.3,4,0,0,0,0,0,0
3654,L50833,L,302.1,311.4,1518,37.4,102,0,0,0,0,0,0
3670,L50849,L,302.4,311.8,1465,40.2,143,0,0,0,0,0,0
3673,L50852,L,302.3,311.6,1658,32.3,150,0,0,0,0,0,0
3681,L50860,L,302.2,311.5,1744,31.2,172,0,0,0,0,0,0
3685,L50864,L,302.0,311.2,1270,65.3,182,1,0,0,0,1,0
3687,L50866,L,302.0,311.1,1406,50.5,187,0,0,0,0,0,0
3696,L50875,L,302.2,311.3,1530,37.3,207,1,1,0,0,0,0
3698,L50877,L,302.2,311.2,1928,23.1,2,0,0,0,0,0,0
3701,L50880,L,302.1,311.2,1447,50.3,11,0,0,0,0,0,0
3734,L50913,L,302.2,311.1,1470,39.6,97,0,0,0,0,0,0
3742,L50921,L,302.4,311.3,1503,38.2,120,0,0,0,0,0,0
3747,H33160,H,302.5,311.3,1393,47.5,130,0,0,0,0,0,0
3761,L50940,L,302.3,310.9,1377,46.8,166,1,0,1,0,0,0
3771,L50950,L,302.3,311,1609,31.0,190,0,0,0,0,0,0
3772,M18631,M,302.3,311,1384,49.7,192,0,0,0,0,0,0
3788,L50967,L,302.3,310.8,1377,47.3,22,1,0,1,0,0,0
3794,L50973,L,302.3,310.9,1379,49.3,34,1,0,1,0,0,0
3807,M18666,M,302.3,310.9,1360,44.0,67,1,0,1,0,0,0
3815,M18674,M,302.1,310.6,1326,59.1,88,1,0,1,0,0,0
3823,M18682,M,302.4,311,1464,44.2,106,0,0,0,0,0,0
3828,M18687,M,302.4,310.9,1469,41.6,124,0,0,0,0,0,0
3830,H33243,H,302.3,310.9,1366,48.4,130,1,0,1,0,0,0
3846,L51025,L,302.3,311,1591,32.7,171,0,0,0,0,0,0
3848,M18707,M,302.3,311,1450,45.7,175,0,0,0,0,0,0
3855,L51034,L,302.4,311,1338,67.6,194,1,0,0,1,1,0
3866,H33279,H,302.6,311.5,1629,34.4,228,1,1,0,0,0,0
3868,M18727,M,302.7,311.6,2709,9.7,2,1,0,0,1,0,0
3869,M18728,M,302.7,311.7,1759,29.9,5,0,0,0,0,0,0
3910,H33323,H,302.3,311.3,1744,30.3,116,0,0,0,0,0,0
3913,L51092,L,302.4,311.4,1475,40.4,126,0,0,0,0,0,0
3929,L51108,L,302.6,311.5,1442,59.8,169,1,0,0,1,0,0
3936,M18795,M,302.6,311.6,1227,68.2,187,1,0,0,0,1,0
3944,L51123,L,302.3,311.4,1333,66.7,205,1,0,0,1,1,0
3950,L51129,L,302.3,311.5,1384,50.8,13,0,0,0,0,0,0
3955,M18814,M,302.3,311.4,1909,23.2,25,0,0,0,0,0,0
3974,L51153,L,302.3,311.4,1535,41.8,77,0,0,0,0,0,0
3980,L51159,L,302.3,311.3,1439,41.8,96,0,0,0,0,0,0
4001,L51180,L,302.1,311.2,1422,50.3,146,0,0,0,0,0,0
4003,L51182,L,302.1,311.2,1454,59.2,153,1,0,0,1,0,0
4013,M18872,M,302.2,311.2,1360,52.8,176,0,0,0,0,0,0
4025,M18884,M,302.1,311,1351,60.3,207,1,0,0,0,1,0
4027,M18886,M,302.1,311,1574,34.1,215,0,0,0,0,0,0
4033,L51212,L,302.0,310.8,1383,50.3,231,1,0,0,0,1,0
4035,L51214,L,302.0,310.8,1615,29.0,235,1,1,0,0,0,0
4045,M18904,M,301.9,310.9,1419,47.7,20,1,0,0,0,0,0
4049,L51228,L,301.9,311,2691,12.1,31,1,0,0,1,0,0
4054,M18913,M,301.9,310.9,2305,16.1,42,0,0,0,0,0,0
4072,L51251,L,301.9,310.6,1331,68.6,85,1,0,0,1,0,0
4079,H33492,H,302.1,310.7,1294,62.4,101,1,0,1,0,0,0
4081,L51260,L,302.0,310.4,1357,58.0,108,1,0,1,0,0,0
4082,L51261,L,302.0,310.4,1336,58.2,110,1,0,1,0,0,0
4088,L51267,L,301.9,310.4,1376,54.9,126,1,0,1,0,0,0
4094,M18953,M,302.0,310.5,1573,32.1,143,0,0,0,0,0,0
4097,L51276,L,301.9,310.4,1370,51.7,153,1,0,1,0,0,0
4111,L51290,L,302.0,310.6,1361,46.7,182,0,0,0,0,0,0
4116,H33529,H,302.0,310.6,1346,54.7,196,0,0,0,0,0,0
4118,L51297,L,301.9,310.5,1340,55.7,204,1,0,0,0,1,0
4120,L51299,L,302.1,310.7,1325,45.1,208,1,0,1,0,0,0
4121,M18980,M,302.1,310.7,1376,46.3,210,1,0,1,0,0,0
4122,M18981,M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0
4128,H33541,H,302.0,310.6,1438,43.2,12,0,0,0,0,0,0
4129,L51308,L,301.9,310.4,1708,24.8,17,0,0,0,0,0,0
4130,M18989,M,301.8,310.3,1666,32.7,19,0,0,0,0,0,0
4131,L51310,L,301.9,310.4,1286,62.8,22,1,0,1,0,0,0
4139,L51318,L,301.7,310.2,1311,57.4,40,1,0,1,0,0,0
4141,L51320,L,301.7,310.2,1331,61.2,47,1,0,1,0,0,0
4152,M19011,M,301.9,310.4,1373,48.0,73,1,0,1,0,0,0
4154,M19013,M,302.0,310.4,1212,55.6,79,1,0,1,0,0,0
4156,L51335,L,302.0,310.5,1370,44.4,85,1,0,1,0,0,0
4157,M19016,M,302.0,310.5,1823,25.1,87,0,0,0,0,0,0
4158,L51337,L,302.0,310.5,1263,60.6,90,1,0,1,0,0,0
4165,L51344,L,302.2,310.6,1346,47.5,109,1,0,1,0,0,0
4166,M19025,M,302.2,310.5,1507,40.4,111,0,0,0,0,0,0
4171,M19030,M,302.2,310.6,1355,51.5,126,1,0,1,0,0,0
4174,M19033,M,302.2,310.6,1346,49.2,134,1,0,1,0,0,0
4180,L51359,L,302.4,310.9,1349,46.1,148,1,0,1,0,0,0
4183,L51362,L,302.4,310.7,1362,54.8,155,1,0,1,0,0,0
4185,L51364,L,302.2,310.6,1334,53.2,159,1,0,1,0,0,0
4186,L51365,L,302.2,310.6,1348,48.4,161,1,0,1,0,0,0
4193,M19052,M,302.5,311,1463,43.1,181,0,0,0,0,0,0
4197,M19056,M,302.5,311,1563,35.6,190,0,0,0,0,0,0
4205,M19064,M,302.3,310.9,1523,43.2,210,0,0,0,0,0,0
4208,M19067,M,302.3,310.9,1710,30.4,218,1,1,0,0,0,0
4212,L51391,L,302.1,310.7,1314,52.8,8,1,0,1,0,0,0
4222,L51401,L,301.9,310.6,1467,39.3,32,0,0,0,0,0,0
4226,L51405,L,302.1,310.7,1359,49.3,41,1,0,1,0,0,0
4227,L51406,L,302.1,310.8,1596,37.1,43,0,0,0,0,0,0
4248,L51427,L,302.6,311,1369,60.0,93,1,0,1,0,0,0
4250,L51429,L,302.5,310.9,1330,56.9,97,1,0,1,0,0,0
4251,L51430,L,302.6,311,1660,38.0,99,0,0,0,0,0,0
