ProductKey,ProductCode,ProductName,Manufacturer,Brand,Color,WeightUnit,Weight,Cost,Price,CategoryKey,CategoryName,SubCategoryKey,SubCategoryName
1043,0401100,A. Datum Full Frame Digital Camera X300 Silver Grey,A. Datum Corporation,A. Datum,Silver Grey,ounces,4.9,76.53,231,4,Cameras and camcorders,401,Digital Cameras
1076,0402033,Contoso SLR Camera X142 Black,"Contoso, Ltd",Contoso,Black,pounds,6.1,211.05,637,4,Cameras and camcorders,402,Digital SLR Cameras
1203,0405060,Fabrikam Trendsetter 2/3'' 17mm X100 Grey,"Fabrikam, Inc.",Fabrikam,Grey,pounds,2,324.69,980,4,Cameras and camcorders,405,Camcorders
1279,0406033,Contoso General Soft Carrying Case E318 Black,"Contoso, Ltd",Contoso,Black,ounces,2.6,7.64,14.99,4,Cameras and camcorders,406,Cameras & Camcorders Accessories
1292,0406046,Contoso Macro Zoom Lens X300 Black,"Contoso, Ltd",Contoso,Black,ounces,1.6,121.45,366.55,4,Cameras and camcorders,406,Cameras & Camcorders Accessories
1318,0501003,Contoso 3 Handset Cordless Phone System  E30 Black,"Contoso, Ltd",Contoso,Black,pounds,1.5,8.66,16.99,5,Cell phones,501,Home & Office Phones
1321,0501006,Contoso Hybrid system M60 Black,"Contoso, Ltd",Contoso,Black,pounds,2.2,13.33,28.99,5,Cell phones,501,Home & Office Phones
1359,0501044,Contoso Centrex Phone System L10 White,"Contoso, Ltd",Contoso,White,pounds,5,14.24,42.99,5,Cell phones,501,Home & Office Phones
1389,0501074,Contoso 4 Handset Cordless Phone System M86 Grey,"Contoso, Ltd",Contoso,Grey,pounds,5.5,16.55,35.99,5,Cell phones,501,Home & Office Phones
1425,0503018,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Grey",The Phone Company,The Phone Company,Grey,ounces,6.9,175.27,529,5,Cell phones,503,Touch Screen Phones
1438,0503031,The Phone Company Pen Touch Screen Phones M320 Grey,The Phone Company,The Phone Company,Grey,ounces,3.9,133.36,290,5,Cell phones,503,Touch Screen Phones
1461,0503054,Contoso Touch Screen Phones Capacitive M908 Black,"Contoso, Ltd",Contoso,Black,ounces,6.9,141.64,308,5,Cell phones,503,Touch Screen Phones
1483,0504014,The Phone Company Smart phones 8 GB of Memory M400 Grey,The Phone Company,The Phone Company,Grey,pounds,3,123.7,269,5,Cell phones,504,Smart phones & PDAs
1487,0504018,The Phone Company Smart phones Unlocked M300 Grey,The Phone Company,The Phone Company,Grey,ounces,6,122.78,267,5,Cell phones,504,Smart phones & PDAs
1489,0504020,The Phone Company Smart phones Unlocked International M800 Grey,The Phone Company,The Phone Company,Grey,ounces,4.7,142.56,310,5,Cell phones,504,Smart phones & PDAs
1548,0504079,The Phone Company PDA Handheld 3.7 inch M630 Silver,The Phone Company,The Phone Company,Silver,ounces,4.7,122.32,266,5,Cell phones,504,Smart phones & PDAs
1561,0504092,The Phone Company PDA Phone 4.7 inches L360 White,The Phone Company,The Phone Company,White,ounces,3.3,133.19,402,5,Cell phones,504,Smart phones & PDAs
1574,0602004,SV DVD Player M130 Grey,Southridge Video,Southridge Video,Grey,pounds,4,27.59,59.99,6,"Music, Movies and Audio Books",602,Movie DVD
1579,0602009,SV DVD Recorder L220 White,Southridge Video,Southridge Video,White,pounds,4,72.56,219,6,"Music, Movies and Audio Books",602,Movie DVD
1580,0602010,SV DVD Recorder L230 Grey,Southridge Video,Southridge Video,Grey,pounds,4,72.56,219,6,"Music, Movies and Audio Books",602,Movie DVD
1596,0602026,SV DVD 55DVD Storage Binder M56 Red,Southridge Video,Southridge Video,Red,pounds,4,5.82,12.66,6,"Music, Movies and Audio Books",602,Movie DVD
1607,0602037,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Southridge Video,Silver,pounds,5,82.77,179.99,6,"Music, Movies and Audio Books",602,Movie DVD
1610,0602040,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Southridge Video,Silver,pounds,8,96.08,289.99,6,"Music, Movies and Audio Books",602,Movie DVD
1617,0602047,Contoso DVD Player M110 Silver,"Contoso, Ltd",Contoso,Silver,pounds,15,26.67,57.99,6,"Music, Movies and Audio Books",602,Movie DVD
1638,0602068,Contoso DVD 58 DVD Storage Binder M55 Red,"Contoso, Ltd",Contoso,Red,pounds,36,6.39,13.89,6,"Music, Movies and Audio Books",602,Movie DVD
1660,0602090,Contoso DVD 15-Inch Player Portable L200 White,"Contoso, Ltd",Contoso,White,pounds,58,96.08,289.99,6,"Music, Movies and Audio Books",602,Movie DVD
1662,0701002,MGS Hand Games for students E400 Yellow,Tailspin Toys,Tailspin Toys,Yellow,pounds,1.5,3.56,6.99,7,Games and Toys,701,Boxed Games
1671,0701011,MGS Hand Games for 12-16 boys E600 Black,Tailspin Toys,Tailspin Toys,Black,pounds,1.2,2.54,4.99,7,Games and Toys,701,Boxed Games
1675,0701015,MGS Hand Games men M300 Red,Tailspin Toys,Tailspin Toys,Red,pounds,1,3.17,6.89,7,Games and Toys,701,Boxed Games
1687,0701027,SV Hand Games men M30 Yellow,Southridge Video,Southridge Video,Yellow,pounds,1,3.16,6.88,7,Games and Toys,701,Boxed Games
1688,0701028,SV Hand Games women M40 Yellow,Southridge Video,Southridge Video,Yellow,pounds,0.9,4.08,8.88,7,Games and Toys,701,Boxed Games
1694,0701034,SV Hand Games women M40 Black,Southridge Video,Southridge Video,Black,pounds,1,4.08,8.88,7,Games and Toys,701,Boxed Games
1722,0702016,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Tailspin Toys,Silver,,,28.55,56,7,Games and Toys,702,Download Games
1790,0702084,MGS Dungeon Siege: Legends of Aranna 2009 E146,Tailspin Toys,Tailspin Toys,Silver,,,21.92,43,7,Games and Toys,702,Download Games
1801,0702095,MGS MechWarrior4: Mercenaries2009 E157,Tailspin Toys,Tailspin Toys,White,,,16.31,32,7,Games and Toys,702,Download Games
2099,0804015,Contoso Water Heater 1.5GPM E0800 Green,"Contoso, Ltd",Contoso,Green,pounds,16.8,131.28,257.5,8,Home Appliances,804,Water Heaters
2428,0808019,Litware Mobile Fan External USB Cooling Fan E601 White,"Litware, Inc.",Litware,White,pounds,2,16.77,32.89,8,Home Appliances,808,Fans
