OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
164203,2,2024-06-29,2024-06-29,216274,80,1580,3,197.1,179.361,65.304,CAD,1.37131
165600,1,2024-07-13,2024-07-13,1616482,550,1688,3,7.992,7.83216,3.672,USD,1.00000
168301,1,2024-08-09,2024-08-14,1042701,999999,1790,3,38.7,33.669,19.728,GBP,0.80195
169700,2,2024-08-23,2024-08-26,803626,999999,426,1,999.8,919.816,509.72,EUR,0.92498
170901,3,2024-09-04,2024-09-04,2044650,540,435,4,539.9,539.9,275.26,USD,1.00000
172400,2,2024-09-19,2024-09-19,1072232,390,715,6,298,271.18,137.04,GBP,0.78907
173801,2,2024-10-03,2024-10-03,1584923,590,1638,1,12.501,11.62593,5.751,USD,1.00000
175100,1,2024-10-16,2024-10-16,593725,210,1318,2,27.184,25.00928,13.856,EUR,0.93084
177000,0,2024-11-04,2024-11-08,877640,999999,1660,7,260.991,260.991,86.472,EUR,0.91954
178701,2,2024-11-21,2024-11-21,530654,240,1607,1,161.991,161.991,74.493,EUR,0.90498
180801,2,2024-12-12,2024-12-12,2063767,550,1662,1,6.291,5.59899,3.204,USD,1.00000
182000,4,2024-12-24,2024-12-24,758585,300,1687,7,6.192,5.69664,2.844,EUR,0.91033
182902,1,2025-01-02,2025-01-02,185183,50,1483,1,376.6,338.94,173.18,AUD,1.52535
184500,2,2025-01-18,2025-01-23,118460,999999,60,1,140.4,124.956,71.577,AUD,1.53971
186500,1,2025-02-07,2025-02-12,170989,999999,457,4,329.925,283.7355,168.21,AUD,1.58324
187701,2,2025-02-19,2025-02-19,737759,300,1203,2,1078,1034.88,357.159,EUR,0.95520
188501,2,2025-02-27,2025-02-27,1921827,620,1675,1,6.201,6.201,2.853,USD,1.00000
190100,0,2025-03-15,2025-03-15,457786,260,1722,10,50.4,43.848,25.695,EUR,0.93423
196200,6,2025-05-15,2025-05-18,1205617,999999,1610,2,376.987,365.67739,124.904,USD,1.00000
199001,3,2025-06-12,2025-06-12,731890,300,1043,2,254.1,223.608,84.183,EUR,0.92894
202001,0,2025-07-12,2025-07-12,289107,80,396,6,1948.5,1948.5,645.57,CAD,1.34980
206100,1,2025-08-22,2025-08-22,59901,10,1389,9,50.386,50.386,23.17,AUD,1.49591
210100,0,2025-10-01,2025-10-01,1939560,440,1425,2,740.6,740.6,245.378,USD,1.00000
213201,2,2025-11-01,2025-11-01,1958297,550,1279,1,16.489,16.489,8.404,USD,1.00000
217000,1,2025-12-09,2025-12-09,539769,230,1321,1,40.586,40.586,18.662,EUR,0.93906
219201,4,2025-12-31,2025-12-31,1234545,620,394,3,1137,1046.04,522.87,USD,1.00000
222200,1,2026-01-30,2026-02-02,822151,999999,2428,1,29.601,29.601,15.093,EUR,1.02775
224100,2,2026-02-18,2026-02-18,1447920,510,84,1,89.991,89.991,41.382,USD,1.00000
